,Stories,beds,baths,floor_space,price,Zip Code,Cooling System,Days on Market,Year Built,Property Type,Price Per Sqft,Units in Building,HOA Fee,Lot Area,Parking Spaces,Parking,Basement,Number of Rooms,Number of Bedrooms,Number of Bathrooms,Number of Bathrooms (full),Living Area,Heating,Air Conditioning,Heating Fuel,Common Walls,Number of Garage Spaces,Sewer,Year Renovated,Property Subtype,Architecture,Construction Materials,Parcel Number,List Price,MLS Status,City,Elementary School,Elementary School District,Jr High / Middle School,Jr High / Middle School District,High School,High School District,MLS/Source ID,Community Features,Year Updated,Utilities,Community,Ownership,Appliances,Laundry,Included in Sale,HOA Fee Includes,Attic,HOA Amenities,Accessibility,Flooring,Floors,Types of Rooms,Number of Bathrooms (half),Electric,Levels,Security,Fencing,Condition,Building Area,Listing Agreement Type,"<a href=""http",Water View,Other Structures,Patio / Porch,"<a href=""https",Roof,Foundation,Building,Special Conditions,View,Responsible for Road Maintenance,Tenant Pays,Exterior,Structure Type,Number of Bathrooms (three quarters),Pool,Builder Model,Not Included in Sale,Number of Stories,Window,Number of Fireplaces,Waterfront,Price Range,Foundation Area,Listing Url,Number Of Vacant Units,Building Name,HOA Name,HOA Phone,Parking Space,Spa,Door,HOA Fee (second),HOA Fee Frequency (second),Finished Area (above surface),Finished Area (below surface),Listing Terms,Buyer Agency Commission,Buyer Agency Commission Type,Fireplace,Owner Pays,Energy Efficiency Features,Off Market Date
0, 12,5.0,4.0,71880.0,"5,797,000",10024, Central, 1 Day on Trulia, 1912, Coop, $81, 48," $7,036/Monthly",7662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 6,2.0,1.0,261776.0,"358,000",11354,, 7 Days on Trulia, 1952, Coop, $1, 252, $692/Monthly,226512.0, 63, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,6.0,4.0,40100.0,"1,950,000",11355,, 11, 1915, Residential Income, $49,,,4000, 3," Shared Driveway,Detached,2 Car Detached", Finished, 10, 6, 4, 4, 40100 Square Feet," Natural Gas,Baseboard", Ductless, Natural Gas, No Common Walls, 2, Public Sewer, 2016, Multi Family, Other, Frame, 05410-0064," $1,950,000", A, Flushing, Ps 22 Thomas Jefferson, Queens 25, Jhs 189 Daniel Carter Beard, Queens 25, Francis Lewis High School, Queens 25, 3444441, Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 2,4.0,2.0,2164.0,"159,000",10301,, 12 Days on Trulia, 1915, Multi Family, $73, 2,,3001,, Garage Attached,,,,,,, Baseboard,, Baseboard,,,,,,,,,,,,,,,,,, 11122018,, 1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1.0,1.0,,"85,000",10460,, 6, 1931, Residential, $117,, $473/Monthly,,, None,, 3, 1, 1, 1, 726 Square Feet," Oil,Hot Water", Window Unit(s), Oil, 2+ Common Walls,, Public Sewer,, Stock Cooperative, Mid Rise, Brick,," $85,000", A, BRONX, Call Listing Agent, City of New York, Call Listing Agent, City of New York, Call Listing Agent, City of New York, H6221826, Park,, Public Garbage Removal, Southern Blvd Complex, Co-Op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1.0,1.0,,"119,000",11230,, 11 Days on Trulia, 1940, Coop, $331, 58, $330/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1.0,1.0,,"119,000",10467,, 12, 1910, Residential, $159,, $744/Monthly,,," None,Off Street", None, 4, 1, 1, 1, 750 Square Feet," Oil,Hot Water", Window Unit(s), Oil, 2+ Common Walls,, Public Sewer,, Stock Cooperative, High Rise,, 04550-0012-02922-000-000001D," $119,000", A, BRONX, Call Listing Agent, City of New York, Call Listing Agent, City of New York, Call Listing Agent, City of New York, H6221294,,, Public Garbage Removal, 2922 Barnes Ave Bronx, Co-Op," Microwave, Refrigerator", Common Area," Ceiling Fan, Convection Oven, Intercom, Microwave, Refrigerator"," Electricity, Gas, Heat, Hot Water, Sewer", None, Elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1.0,1.0,,"120,000",10462,, 13, 1930, Residential, $160,, $758/Monthly,,, On Street, Common, 3, 1, 1, 1, 750 Square Feet," Oil,Hot Water", Window Unit(s),, 2+ Common Walls,, Public Sewer,, Stock Cooperative, Mid Rise, Brick, 04319-0015-02186-000-000001C,, A, BRONX, Call Listing Agent, City of New York, Call Listing Agent, City of New York, Call Listing Agent, City of New York, H6220348, Park,, Public Garbage Removal, The Sussex, Co-Op," Dishwasher, Oven, Refrigerator",," Dishwasher, Refrigerator"," Heat, Hot Water", None, Elevator," ADA Access, ADA Inside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1.0,1.0,,"80,000",10455,, 15, 1925, Residential, $145,, $483/Monthly,,, On Street,, 3, 1, 1, 1, 550 Square Feet," Oil,Hot Water", Window Unit(s), Oil, 2+ Common Walls,, Public Sewer,, Stock Cooperative, Garden Apartment, Brick,," $80,000", A, BRONX, Call Listing Agent, City of New York, Call Listing Agent, City of New York, Call Listing Agent, City of New York, H6220496, Park,, Public Garbage Removal, 1021 Avenue Saint John, Co-Op," Microwave, Oven, Refrigerator, Stainless Steel Appliance(s)",," A/C Units, Front Gate, Microwave, Refrigerator, Shades/Blinds"," Heat, Hot Water",,,, Hardwood, Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, 3,10.0,6.0,3875.0,"1,350,000",11234,, &lt;1 Day on Trulia, 1974, Multi Family, $348, 3,,3583,, Carport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
